Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
000000159,00000431,false,0,8,FE,FF,FF,FF,FF,FF,FF,00
000000160,00000540,false,0,8,00,00,00,00,FE,31,FF,40
000000161,00000206,false,0,8,7F,22,5F,FF,FF,FF,FF,FF
000000162,000007BD,false,0,8,00,00,00,C0,FF,40,01,01
000000163,000007BE,false,0,8,05,00,00,00,00,00,00,E0
000000164,1FFFFFFF,true,0,1,00,00,00,00,00,00,00,00
000000165,0000019F,false,0,6,FF,FF,FC,7F,FF,AF,00,00
000000166,000002F5,false,0,8,70,0F,90,21,23,0A,06,10
000000167,000002FA,false,0,8,FD,FF,05,FF,FF,FF,FF,FF
000000168,00000337,false,0,2,FF,FF,00,00,00,00,00,00
000000169,000003B4,false,0,8,10,FF,71,F0,B9,FF,01,00
000000170,00000201,false,0,8,73,00,FF,FF,FF,FF,FF,FF
000000171,1FFFFFFF,true,0,1,00,00,00,00,00,00,00,00
000000172,00000272,false,0,8,41,F6,00,11,FF,FF,FF,FF
000000173,0000012F,false,0,8,25,5E,8A,DD,F4,35,30,88
000000174,000000EF,false,0,8,4C,F5,00,7D,21,00,7D,FF
000000175,00000338,false,0,8,19,01,10,F0,54,2F,32,30
000000176,000000A5,false,0,8,DD,F5,FF,F7,7F,00,00,C1
000000177,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000178,000000D9,false,0,8,91,F5,00,10,00,F0,7F,C0
000000179,000000F3,false,0,8,BF,05,00,FF,F0,C0,FF,FF
000000180,000001A1,false,0,5,DA,CD,00,00,81,00,00,00
000000181,000002C4,false,0,8,00,00,FF,00,C8,64,FF,CF
000000182,00000304,false,0,6,FF,FF,00,30,FF,FF,00,00
000000183,000003F9,false,0,8,01,F6,80,E0,42,3C,C3,FF
000000184,000003CA,false,0,8,81,70,37,04,04,81,FF,FF
000000185,00000100,false,0,8,FF,FA,7F,C0,5D,AD,87,70
000000186,00000112,false,0,8,EC,1F,53,0F,61,73,05,62
000000187,00000239,false,0,8,FF,C8,45,00,00,FF,FF,FF
000000188,00000581,false,0,8,40,4D,00,29,FF,FF,FF,FF
000000189,00000201,false,0,8,98,00,FF,FF,FF,FF,FF,FF
000000190,00000163,false,0,8,FF,FF,06,A5,FF,FF,FF,FF
000000191,00000173,false,0,8,1A,FA,00,0E,E0,00,DE,00
000000192,0000015F,false,0,8,91,F6,00,7D,00,EE,00,7D
000000193,00000197,false,0,4,00,05,0E,C0,00,00,00,00
000000194,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000195,00000258,false,0,2,44,44,00,00,00,00,00,00
000000196,00000302,false,0,7,FF,FF,BC,80,F1,FF,FF,00
000000197,0000013A,false,0,8,DE,F3,00,00,00,0E,FF,FF
000000198,000002ED,false,0,3,61,03,02,00,00,00,00,00
000000199,00000560,false,0,8,00,00,00,00,FE,00,00,60
000000200,00000301,false,0,7,FF,FF,A4,80,FF,FF,2F,00
000000201,000007BD,false,0,8,04,00,00,00,00,00,00,80
000000202,000007BE,false,0,8,0B,00,00,00,00,00,00,00
000000203,00000100,false,0,8,A2,FB,7F,C0,5D,AD,87,70
000000204,00000199,false,0,6,FF,FF,9A,7E,FF,BF,00,00
000000205,00000112,false,0,8,EC,1F,54,0F,61,73,05,62
