Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
000000118,00000108,false,0,8,00,7D,FF,FF,07,F1,FF,FF
000000119,000003FD,false,0,5,B5,09,00,00,FF,00,00,00
000000120,00000206,false,0,8,DC,26,5C,FF,FF,FF,FF,FF
000000121,00000212,false,0,8,42,FA,F9,FF,FF,FF,FF,FF
000000122,000002DB,false,0,8,FF,FF,FF,FF,BF,FF,FF,FF
000000123,000002F1,false,0,8,B3,0F,00,00,00,00,00,A0
000000124,000000EF,false,0,8,80,FB,00,7D,21,FE,7C,FF
000000125,0000032B,false,0,8,FF,FF,FF,FF,FF,FF,00,FF
000000126,00000331,false,0,8,FF,FF,FF,EF,7F,FE,F7,FF
000000127,000001A1,false,0,5,88,CC,00,00,8A,00,00,00
000000128,000003E9,false,0,8,08,52,00,00,00,00,00,00
000000129,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000130,00000100,false,0,8,39,F7,7F,C0,5D,66,87,70
000000131,000002A7,false,0,5,A8,F2,FE,FF,14,00,00,00
000000132,00000201,false,0,8,73,4A,73,4A,FF,FF,FF,FF
000000133,0000015F,false,0,8,F9,FC,00,7D,00,EE,00,7D
000000134,00000112,false,0,8,FA,1F,C6,0E,3A,72,85,5F
000000135,000002B0,false,0,6,43,4D,05,C8,FF,FF,00,00
000000136,00000301,false,0,7,FF,FF,FF,7F,FF,FF,CF,00
000000137,00000197,false,0,4,05,03,0E,C0,00,00,00,00
000000138,000000A5,false,0,8,0F,FD,FF,F7,7F,00,00,C1
000000139,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000140,000002A7,false,0,5,34,FA,FE,FF,14,00,00,00
000000141,000007BD,false,0,8,00,00,00,C0,FF,C0,01,00
000000142,000007BE,false,0,8,0B,00,00,00,00,00,00,00
000000143,000003B4,false,0,8,00,FF,30,F0,98,FF,00,00
000000144,0000015F,false,0,8,43,FE,00,7D,00,EE,00,7D
000000145,00000112,false,0,8,FB,1F,C6,0E,3A,72,85,5F
000000146,00000397,false,0,7,00,2A,00,57,14,77,01,00
000000147,000002F5,false,0,8,71,0F,60,29,22,0A,06,10
000000148,000002C4,false,0,8,00,00,FF,00,C8,64,FF,CF
000000149,000000A5,false,0,8,E9,F0,FF,F7,7F,00,00,C1
000000150,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000151,000000D9,false,0,8,4D,F0,00,10,00,F0,7F,C8
000000152,000000F3,false,0,8,8B,00,00,FF,F0,C0,FF,FF
000000153,00000100,false,0,8,0C,FC,7F,C0,5D,66,87,70
000000154,00000199,false,0,6,FF,FF,B9,7E,FF,3F,00,00
000000155,0000019A,false,0,6,FF,FF,77,7E,FF,3F,00,00
