Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
000000130,0000015F,false,0,8,A5,F3,00,7D,00,EE,00,7D
000000131,000000A5,false,0,8,80,F4,FF,F7,7F,00,00,C1
000000132,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000133,000000D9,false,0,8,24,F4,00,10,00,F0,7F,C8
000000134,000000F3,false,0,8,E2,04,00,FF,F0,C0,FF,FF
000000135,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000136,000001E1,false,0,6,45,F2,04,FF,FF,FF,00,00
000000137,00000197,false,0,4,8A,02,0E,C0,00,00,00,00
000000138,00000100,false,0,8,83,F5,7F,C0,5D,66,87,70
000000139,00000206,false,0,8,B5,22,5C,FF,FF,FF,FF,FF
000000140,000000EF,false,0,8,52,F3,00,7D,21,FE,7C,FF
000000141,000001A1,false,0,5,7C,CB,00,00,8A,00,00,00
000000142,000007BD,false,0,8,11,00,00,00,00,00,00,00
000000143,000007BE,false,0,8,0B,00,00,00,00,00,00,00
000000144,00000112,false,0,8,FB,1F,C7,0E,3A,72,85,5F
000000145,00000239,false,0,8,71,8F,2A,57,01,FF,FF,FF
000000146,00000100,false,0,8,64,F6,7F,C0,5D,66,87,70
000000147,000002A7,false,0,5,8F,F0,FE,FF,14,00,00,00
000000148,00000199,false,0,6,FF,FF,B9,7E,FF,3F,00,00
000000149,0000019A,false,0,6,FF,FF,81,7E,FF,3F,00,00
000000150,0000019F,false,0,6,FF,FF,07,80,FF,2F,00,00
000000151,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000152,00000258,false,0,2,44,44,00,00,00,00,00,00
000000153,0000015F,false,0,8,2B,F4,00,7D,00,EE,00,7D
000000154,000002C4,false,0,8,00,00,FF,00,C8,64,FF,CF
000000155,000000A5,false,0,8,DD,F5,FF,F7,7F,00,00,C1
000000156,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000157,000000D9,false,0,8,79,F5,00,10,00,F0,7F,C8
000000158,000000F3,false,0,8,BF,05,00,FF,F0,C0,FF,FF
000000159,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000160,000002F5,false,0,8,71,0F,60,29,22,0A,06,10
000000161,00000100,false,0,8,39,F7,7F,C0,5D,66,87,70
000000162,00000201,false,0,8,EF,5B,EF,5B,FF,FF,FF,FF
000000163,000000EF,false,0,8,DC,F4,00,7D,21,FE,7C,FF
000000164,000001A1,false,0,5,15,CD,00,00,8A,00,00,00
000000165,00000112,false,0,8,FB,1F,C7,0E,3A,72,85,5F
000000166,00000197,false,0,4,05,03,0E,C0,00,00,00,00
000000167,00000100,false,0,8,65,F8,7F,C0,5D,66,87,70
000000168,00000302,false,0,7,FF,FF,FF,7F,FC,FF,FF,00
000000169,000002C5,false,0,7,9E,F9,00,20,06,20,CA,00
000000170,00000199,false,0,6,FF,FF,CD,7E,FF,3F,00,00
000000171,0000019A,false,0,6,FF,FF,95,7E,FF,3F,00,00
000000172,0000019F,false,0,6,FF,FF,FD,7F,FF,2F,00,00
000000173,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000174,00000258,false,0,2,44,44,00,00,00,00,00,00
000000175,00000348,false,0,8,E7,00,0A,7F,FE,60,CC,11
000000176,000003A7,false,0,7,10,FA,00,00,1F,11,F0,00
000000177,000003E6,false,0,2,82,00,00,00,00,00,00,00
000000178,0000015F,false,0,8,76,F5,00,7D,00,EE,00,7D
000000179,000000A5,false,0,8,3A,F6,FF,F7,7F,00,00,C1
000000180,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000181,000000D9,false,0,8,9E,F6,00,10,00,F0,7F,C8
000000182,000000F3,false,0,8,58,06,00,FF,F0,C0,FF,FF
000000183,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000184,0000012F,false,0,8,6D,27,86,1B,F1,35,30,00
000000185,00000100,false,0,8,38,F9,7F,C0,5D,66,87,70
000000186,0000003C,false,0,8,FF,5F,00,00,00,00,FF,FF
000000187,00000297,false,0,7,7D,E4,F0,FC,F2,92,EA,00
000000188,00000206,false,0,8,E8,23,5C,FF,FF,FF,FF,FF
000000189,000000EF,false,0,8,81,F5,00,7D,21,FE,7C,FF
000000190,000001A1,false,0,5,5A,C0,00,00,8A,00,00,00
000000191,000000A9,false,0,8,B0,78,00,90,F1,00,00,FF
000000192,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000193,00000100,false,0,8,DF,FA,7F,C0,5D,66,87,70
000000194,00000199,false,0,6,FF,FF,A5,7E,FF,3F,00,00
000000195,0000019A,false,0,6,FF,FF,81,7E,FF,3F,00,00
000000196,0000019F,false,0,6,FF,FF,01,80,FF,2F,00,00
000000197,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000198,00000258,false,0,2,44,44,00,00,00,00,00,00
000000199,0000036F,false,0,5,07,F9,FE,FF,14,00,00,00
000000200,000001AE,false,0,2,F7,FF,00,00,00,00,00,00
000000201,0000015F,false,0,8,91,F6,00,7D,00,EE,00,7D
000000202,000002A1,false,0,5,80,58,02,00,F0,00,00,00
000000203,0000043D,false,0,8,0A,F7,E6,FF,1E,0F,01,F0
000000204,000007BD,false,0,8,00,00,00,C0,FF,C0,01,08
000000205,000007BE,false,0,8,0C,41,04,68,00,00,00,00
000000206,000000A5,false,0,8,67,F7,FF,F7,7F,00,00,C1
000000207,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000208,000000D9,false,0,8,C3,F7,00,10,00,F0,7F,C8
000000209,000000F3,false,0,8,05,07,00,FF,F0,C0,FF,FF
000000210,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000211,00000197,false,0,4,8F,04,0E,C0,00,00,00,00
000000212,00000431,false,0,8,CA,FF,FF,FF,FF,6C,F3,4B
000000213,00000100,false,0,8,82,FB,7F,C0,5D,66,87,70
000000214,000002BB,false,0,5,D4,F2,00,00,F2,00,00,00
000000215,000002E8,false,0,8,C0,18,C5,FF,FF,F4,F2,9E
000000216,000003FD,false,0,5,93,02,00,00,FF,00,00,00
000000217,00000108,false,0,8,00,7D,FF,FF,07,F1,FF,FF
000000218,00000212,false,0,8,CD,F3,F9,FF,FF,FF,FF,FF
000000219,000002DB,false,0,8,FF,FF,FF,FF,BF,FF,FF,FF
000000220,000002F1,false,0,8,B4,0F,00,00,00,00,00,A0
000000221,000000EF,false,0,8,66,F6,00,7D,21,FE,7C,FF
000000222,000001A1,false,0,5,7D,C2,00,00,8A,00,00,00
000000223,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000224,000000A5,false,0,8,66,F9,FF,F7,7F,00,00,C1
000000225,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000226,000000D9,false,0,8,C2,F9,00,10,00,F0,7F,C8
